source	target	weight	resources	references	sign_decision
KLF1	HBB	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:10468560;CollecTRI:10535918;CollecTRI:10575545;CollecTRI:10652365;CollecTRI:10706605;CollecTRI:10990462;CollecTRI:11238130;CollecTRI:11259590;CollecTRI:11287616;CollecTRI:12556498;CollecTRI:14764531;CollecTRI:15384985;CollecTRI:15833715;CollecTRI:16705186;CollecTRI:19220418;CollecTRI:19251649;CollecTRI:20676097;CollecTRI:21220744;CollecTRI:21539536;CollecTRI:21610079;CollecTRI:7682653;CollecTRI:7753194;CollecTRI:7829533;CollecTRI:8195185;CollecTRI:8901569;CollecTRI:8916973;CollecTRI:8918890;CollecTRI:8924208;CollecTRI:9207479;CollecTRI:9418858;CollecTRI:9422764;CollecTRI:9545245;CollecTRI:9603943;CollecTRI:9668528;CollecTRI:9707565;CollecTRI:9778250	PMID
REL	CCL2	1.0	CollecTRI;CytReg_CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10469356;CollecTRI:10614622;CollecTRI:11716760;CollecTRI:12218154;CollecTRI:16325549;CollecTRI:20038977;CollecTRI:9388261	PMID
RELA	CCL2	1.0	CollecTRI;CytReg_CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;IntAct_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10469356;CollecTRI:10530453;CollecTRI:10614622;CollecTRI:10636866;CollecTRI:10644332;CollecTRI:10744656;CollecTRI:10987310;CollecTRI:11006087;CollecTRI:11716760;CollecTRI:11949945;CollecTRI:12218154;CollecTRI:12488502;CollecTRI:12540607;CollecTRI:12647268;CollecTRI:12682245;CollecTRI:14631383;CollecTRI:14976218;CollecTRI:15223809;CollecTRI:15950427;CollecTRI:16040075;CollecTRI:16166627;CollecTRI:16206198;CollecTRI:16325549;CollecTRI:16730843;CollecTRI:16764699;CollecTRI:16818736;CollecTRI:16829531;CollecTRI:17452470;CollecTRI:17507908;CollecTRI:17537731;CollecTRI:17932106;CollecTRI:18226221;CollecTRI:18353872;CollecTRI:19371341;CollecTRI:19738286;CollecTRI:20038977;CollecTRI:20195282;CollecTRI:20200316;CollecTRI:20952659;CollecTRI:21106671;CollecTRI:21138578;CollecTRI:22189654;CollecTRI:22189669;CollecTRI:22723832;CollecTRI:23198981;CollecTRI:23583295;CollecTRI:24063814;CollecTRI:24260304;CollecTRI:24337575;CollecTRI:24550391;CollecTRI:24634218;CollecTRI:25108845;CollecTRI:27076634;CollecTRI:8617886;CollecTRI:8630731;CollecTRI:9174597;CollecTRI:9388261;CollecTRI:9916692	PMID
TP53	MDM4	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10469568;CollecTRI:16492744;CollecTRI:17510313;CollecTRI:18172009;CollecTRI:18336191;CollecTRI:19521340;CollecTRI:20036872;CollecTRI:20080970;CollecTRI:20372076;CollecTRI:21394211;CollecTRI:21422812;CollecTRI:21750655;CollecTRI:22290440;CollecTRI:23474762;CollecTRI:9926934	default activation
TP73	MDM4	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10469568	default activation
WT1	MYCN	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10470095	PMID
AHR	CTSD	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10471301;CollecTRI:11165043;CollecTRI:16489053;CollecTRI:7786196;CollecTRI:8524236	default activation
ARNT	CTSD	1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10471301;CollecTRI:9611253	default activation
STAT5A	STAT5A	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10471471;CollecTRI:12683938;CollecTRI:12819296;CollecTRI:15963857;CollecTRI:16819511;CollecTRI:17922009;CollecTRI:19339209;CollecTRI:19417088;CollecTRI:21964595;CollecTRI:23262295;CollecTRI:23729680;CollecTRI:9773981	default activation
CREB1	JUN	-1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10403485;CollecTRI:10471787;CollecTRI:2140898;CollecTRI:8647095	PMID
SP1	HMGA2	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10471823;CollecTRI:10558886;CollecTRI:11802722	PMID
SP3	HMGA2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10471823;CollecTRI:11802722;CollecTRI:12799440	PMID
CEBPG	PCK1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10471825;CollecTRI:11092886;CollecTRI:11453665;CollecTRI:11997389;CollecTRI:12560325;CollecTRI:1281456;CollecTRI:1328227;CollecTRI:2147222;CollecTRI:7639710;CollecTRI:7935427;CollecTRI:8626491;CollecTRI:9078282	default activation
DDIT3	HSPA4	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10472808	default activation
FOS	HSPA5	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10472808;CollecTRI:11719466	default activation
PGR	IGFBP5	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10473602	PMID
CEBPG	STAR	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10473624	default activation
NRG1	EGF	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10473632	default activation
NRG1	PIK3R1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10473632	default activation
PPARA	EDN1	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10473669;CollecTRI:11007963;CollecTRI:12193105;CollecTRI:12524223;CollecTRI:17105827	PMID
ATF2	EP300	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10475063	default activation
GATA4	ANKRD1	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:10477291;CollecTRI:12384280;CollecTRI:22532871	default activation
NKX2-5	ANKRD1	1.0	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI	CollecTRI:10477291;CollecTRI:9043061	PMID
NFATC2	XCL1	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:10477599	PMID
RELA	CXCL8	1.0	CollecTRI;CytReg_CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;GOA_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10202011;CollecTRI:10477716;CollecTRI:10506755;CollecTRI:10530453;CollecTRI:10745031;CollecTRI:10817569;CollecTRI:10928981;CollecTRI:10969814;CollecTRI:10975857;CollecTRI:11120852;CollecTRI:11297551;CollecTRI:11342414;CollecTRI:11564889;CollecTRI:11716760;CollecTRI:11864912;CollecTRI:11953364;CollecTRI:11973337;CollecTRI:12038622;CollecTRI:12058956;CollecTRI:12163591;CollecTRI:12218154;CollecTRI:12485925;CollecTRI:12643600;CollecTRI:12707271;CollecTRI:12716652;CollecTRI:12748173;CollecTRI:12820969;CollecTRI:12855659;CollecTRI:12883201;CollecTRI:14631383;CollecTRI:14645117;CollecTRI:14670967;CollecTRI:15005855;CollecTRI:15057743;CollecTRI:15079071;CollecTRI:15223809;CollecTRI:15289496;CollecTRI:15350531;CollecTRI:15355994;CollecTRI:15387324;CollecTRI:15517885;CollecTRI:15531761;CollecTRI:15615716;CollecTRI:15688424;CollecTRI:15722553;CollecTRI:15879558;CollecTRI:15950427;CollecTRI:15958549;CollecTRI:16004996;CollecTRI:16105834;CollecTRI:16325549;CollecTRI:16418726;CollecTRI:16455661;CollecTRI:16553947;CollecTRI:16764699;CollecTRI:16803583;CollecTRI:16818736;CollecTRI:16829531;CollecTRI:17040605;CollecTRI:17041011;CollecTRI:17045242;CollecTRI:17276517;CollecTRI:17362989;CollecTRI:17565687;CollecTRI:17586662;CollecTRI:17636245;CollecTRI:17917246;CollecTRI:17932106;CollecTRI:18034886;CollecTRI:18045535;CollecTRI:18074095;CollecTRI:18221537;CollecTRI:18281166;CollecTRI:18309103;CollecTRI:18362169;CollecTRI:18435575;CollecTRI:18669446;CollecTRI:18723827;CollecTRI:18786178;CollecTRI:18996370;CollecTRI:19064995;CollecTRI:19173296;CollecTRI:19376732;CollecTRI:19668231;CollecTRI:19732956;CollecTRI:19734226;CollecTRI:19786024;CollecTRI:19837667;CollecTRI:19966855;CollecTRI:20038977;CollecTRI:20053934;CollecTRI:20194077;CollecTRI:20696864;CollecTRI:21131967;CollecTRI:21255844;CollecTRI:21343177;CollecTRI:21343296;CollecTRI:21451502;CollecTRI:21665565;CollecTRI:22340043;CollecTRI:22848596;CollecTRI:22891766;CollecTRI:23386688;CollecTRI:23637609;CollecTRI:23894194;CollecTRI:24048734;CollecTRI:24260304;CollecTRI:24337575;CollecTRI:24634218;CollecTRI:24770886;CollecTRI:26340924;CollecTRI:26618242;CollecTRI:27076634;CollecTRI:27371733;CollecTRI:27856305;CollecTRI:28283022;CollecTRI:7876168;CollecTRI:8207232;CollecTRI:8413215;CollecTRI:8413306;CollecTRI:8617886;CollecTRI:8878392;CollecTRI:9388261;CollecTRI:9405619;CollecTRI:9510190;CollecTRI:9698090	PMID
LHX3	ESR1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10478837	default activation
NR5A1	SCARB1	1.0	CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI	CollecTRI:10478838;CollecTRI:10579331;CollecTRI:9407090	PMID
NFIC	AR	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10478840	default activation
TP53	IL2	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10479400;CollecTRI:11129286;CollecTRI:12471108;CollecTRI:8877730	PMID
FOS	CCND2	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10479451	default activation
TFAP2A	IL3	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10480868	default activation
YY1	IL3	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10480868	default activation
PAX3	TYRP1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10480898	default activation
PAX3	FN1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10480898	default activation
MITF	PAX3	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:22290434	default activation
PAX3	MITF	1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10480898;CollecTRI:10644012;CollecTRI:10942418;CollecTRI:10982026;CollecTRI:11237412;CollecTRI:11830592;CollecTRI:19026785;CollecTRI:19074888;CollecTRI:19403660;CollecTRI:20925909;CollecTRI:21519923;CollecTRI:21965087;CollecTRI:22290434;CollecTRI:9500554	PMID
CTCF	LYZ	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:10480923;CollecTRI:10940558	default activation
RELA	TNF	1.0	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;IntAct_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10079106;CollecTRI:10201927;CollecTRI:10485496;CollecTRI:10551799;CollecTRI:10553096;CollecTRI:10748079;CollecTRI:10754326;CollecTRI:10837498;CollecTRI:10963848;CollecTRI:11007957;CollecTRI:11094063;CollecTRI:11259437;CollecTRI:11290773;CollecTRI:11297551;CollecTRI:11312646;CollecTRI:11490006;CollecTRI:11739517;CollecTRI:11749970;CollecTRI:11827962;CollecTRI:12058956;CollecTRI:12117498;CollecTRI:12471036;CollecTRI:12610112;CollecTRI:12628924;CollecTRI:12657243;CollecTRI:12686724;CollecTRI:14749357;CollecTRI:14960579;CollecTRI:14976218;CollecTRI:15013838;CollecTRI:15064230;CollecTRI:15081318;CollecTRI:15465827;CollecTRI:15470505;CollecTRI:15543947;CollecTRI:15812247;CollecTRI:15857826;CollecTRI:16040075;CollecTRI:16199883;CollecTRI:16285952;CollecTRI:16433741;CollecTRI:16483936;CollecTRI:16569682;CollecTRI:16707469;CollecTRI:16850160;CollecTRI:16916598;CollecTRI:17082635;CollecTRI:17085785;CollecTRI:17142966;CollecTRI:17268554;CollecTRI:17292554;CollecTRI:17350185;CollecTRI:17351769;CollecTRI:17390058;CollecTRI:17407192;CollecTRI:17442180;CollecTRI:17496784;CollecTRI:17607667;CollecTRI:17707233;CollecTRI:18057724;CollecTRI:18077329;CollecTRI:18285351;CollecTRI:18362169;CollecTRI:18467438;CollecTRI:18719026;CollecTRI:18772140;CollecTRI:19285436;CollecTRI:19385047;CollecTRI:19530226;CollecTRI:19846753;CollecTRI:19854828;CollecTRI:20066113;CollecTRI:20097764;CollecTRI:20139176;CollecTRI:20195282;CollecTRI:20221401;CollecTRI:20221720;CollecTRI:20237317;CollecTRI:20534538;CollecTRI:20544543;CollecTRI:20547752;CollecTRI:20617556;CollecTRI:20686703;CollecTRI:20696864;CollecTRI:20722069;CollecTRI:20817730;CollecTRI:21098092;CollecTRI:21108432;CollecTRI:21138578;CollecTRI:21537341;CollecTRI:21573233;CollecTRI:21765477;CollecTRI:22021035;CollecTRI:22138107;CollecTRI:22388040;CollecTRI:22661093;CollecTRI:22718766;CollecTRI:22723832;CollecTRI:22742857;CollecTRI:22798670;CollecTRI:22901690;CollecTRI:23042817;CollecTRI:23178569;CollecTRI:23195252;CollecTRI:23335080;CollecTRI:23857586;CollecTRI:23971673;CollecTRI:24012417;CollecTRI:24908318;CollecTRI:25161822;CollecTRI:25690886;CollecTRI:25888873;CollecTRI:26004152;CollecTRI:26023919;CollecTRI:26114754;CollecTRI:26408955;CollecTRI:26516703;CollecTRI:26596471;CollecTRI:26997758;CollecTRI:27075886;CollecTRI:27338466;CollecTRI:27534992;CollecTRI:28039105;CollecTRI:7624137;CollecTRI:7876168;CollecTRI:7895918;CollecTRI:8219230;CollecTRI:8622636;CollecTRI:8679226;CollecTRI:8805669;CollecTRI:9129150;CollecTRI:9281604;CollecTRI:9742085;CollecTRI:9831247;CollecTRI:9916692;CollecTRI:9916895	PMID
NFKB1	TNF	1.0	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10079106;CollecTRI:10201927;CollecTRI:10485496;CollecTRI:10551799;CollecTRI:10553096;CollecTRI:10748079;CollecTRI:10754326;CollecTRI:10837498;CollecTRI:10919279;CollecTRI:10963848;CollecTRI:11094063;CollecTRI:11259437;CollecTRI:11297551;CollecTRI:11312646;CollecTRI:11490006;CollecTRI:11675405;CollecTRI:11739517;CollecTRI:11749970;CollecTRI:12058956;CollecTRI:12117498;CollecTRI:12471036;CollecTRI:12657243;CollecTRI:12686724;CollecTRI:12907458;CollecTRI:14960579;CollecTRI:14976218;CollecTRI:15013838;CollecTRI:15465827;CollecTRI:15543947;CollecTRI:15743782;CollecTRI:15749903;CollecTRI:15812247;CollecTRI:16040075;CollecTRI:16055086;CollecTRI:1618817;CollecTRI:16285952;CollecTRI:16433741;CollecTRI:16483936;CollecTRI:16569682;CollecTRI:16707469;CollecTRI:16916598;CollecTRI:17082635;CollecTRI:17085785;CollecTRI:17292554;CollecTRI:1740105;CollecTRI:17407192;CollecTRI:17442180;CollecTRI:17513725;CollecTRI:17646159;CollecTRI:17704137;CollecTRI:17707233;CollecTRI:18057724;CollecTRI:18285351;CollecTRI:18990758;CollecTRI:20066113;CollecTRI:20237317;CollecTRI:20617556;CollecTRI:20722069;CollecTRI:21138578;CollecTRI:22782967;CollecTRI:24337575;CollecTRI:26114754;CollecTRI:7624137;CollecTRI:7876168;CollecTRI:7895918;CollecTRI:8219230;CollecTRI:8530146;CollecTRI:8622636;CollecTRI:8679226;CollecTRI:8805669;CollecTRI:9281604;CollecTRI:9452482;CollecTRI:9742085;CollecTRI:9916895	PMID
STAT5A	IL7R	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10485656;CollecTRI:17664008;CollecTRI:18042802	default activation
CEBPB	CETP	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10487481	default activation
CEBPG	CETP	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10487481;CollecTRI:1429586	default activation
WT1	AREG	1.0	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI	CollecTRI:10490105;CollecTRI:14736876;CollecTRI:19416806	PMID
DBP	CYP2A13	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10490589	default activation
DBP	IGKV2D-26	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10490589	default activation
NFIC	CYP1A1	-1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10490621;CollecTRI:11093759;CollecTRI:11239493	PMID
PITX2	PRL	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10490637;CollecTRI:12130547;CollecTRI:12223489;CollecTRI:16879162;CollecTRI:17167399;CollecTRI:20978111;CollecTRI:9685346	PMID
BCL6	IL4	1.0	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI	CollecTRI:10490661;CollecTRI:11374866;CollecTRI:12097386;CollecTRI:9110977	PMID
BCL6	STAT6	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10490661	default activation
STAT6	BCL6	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:23852366	default activation
BCL6	IGHE	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10490661;CollecTRI:15659391	default activation
RB1	E2F1	-1.0	CollecTRI;TRRUST_CollecTRI	CollecTRI:11939591;CollecTRI:12460790;CollecTRI:1534305;CollecTRI:21602887;CollecTRI:8575214;CollecTRI:9326598;CollecTRI:9400991;CollecTRI:9671466	PMID
E2F1	RB1	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10490838;CollecTRI:11268000;CollecTRI:11533237;CollecTRI:11818069;CollecTRI:14627987;CollecTRI:14681231;CollecTRI:15016799;CollecTRI:15618023;CollecTRI:15985428;CollecTRI:16081466;CollecTRI:16188218;CollecTRI:16230367;CollecTRI:16601104;CollecTRI:16738312;CollecTRI:18583990;CollecTRI:8264596	PMID
SP1	LHCGR	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;TFactS_CollecTRI	CollecTRI:10491299;CollecTRI:12972613;CollecTRI:16943418;CollecTRI:8756564	PMID
SP3	LHCGR	1.0	CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI	CollecTRI:10491299;CollecTRI:12972613	PMID
HNF1B	INS	1.0	CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI	CollecTRI:10491332;CollecTRI:17210751	PMID
HNF4A	INS	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10491332;CollecTRI:10720084;CollecTRI:11994285;CollecTRI:14612449;CollecTRI:18555664;CollecTRI:19252740	default activation
TFCP2	HBA2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10491335;CollecTRI:18629613;CollecTRI:20421208;CollecTRI:2233727;CollecTRI:8157699;CollecTRI:9753426	PMID
REST	GRIA2	-1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10491605;CollecTRI:10792430;CollecTRI:16262660;CollecTRI:21948504;CollecTRI:9712644	PMID
ESRRA	CYP19A1	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:10493499;CollecTRI:11850205;CollecTRI:11973645;CollecTRI:15955695;CollecTRI:19800002;CollecTRI:20351196;CollecTRI:23340254;CollecTRI:9865725	PMID
HOXD3	PLAU	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TRRUST_CollecTRI	CollecTRI:10495851;CollecTRI:10648567;CollecTRI:11477555;CollecTRI:14610084	PMID
SP1	PDLIM7	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10497114	default activation
SP3	PDLIM7	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10497114	default activation
IRF9	IFNL3	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10497156	default activation
TFE3	SLC34A1	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:10497181;CollecTRI:11473618	default activation
NR2F2	PKLR	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:10497199	PMID
ZNF236	PKLR	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10497199	default activation
USF1	PKLR	1.0	CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10497199;CollecTRI:10976753;CollecTRI:12087089;CollecTRI:12177166;CollecTRI:7755551;CollecTRI:7852331;CollecTRI:8246989;CollecTRI:8314745	PMID
JUNB	IL6	-1.0	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI	CollecTRI:10497240;CollecTRI:11337499;CollecTRI:12070012;CollecTRI:19918056;CollecTRI:20221401;CollecTRI:7836389;CollecTRI:8537375	PMID
STAT3	JUNB	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10497240;CollecTRI:17204573;CollecTRI:9325164	PMID
SP1	CCND1	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10497251;CollecTRI:10850422;CollecTRI:10908361;CollecTRI:11024050;CollecTRI:11410592;CollecTRI:12794082;CollecTRI:15870300;CollecTRI:15922873;CollecTRI:16267018;CollecTRI:17617380;CollecTRI:19755513;CollecTRI:19850937;CollecTRI:20435036;CollecTRI:22334592;CollecTRI:22415074;CollecTRI:22734486;CollecTRI:22911796;CollecTRI:9236224;CollecTRI:9407106;CollecTRI:9584162;CollecTRI:9637785	PMID
TFAP2A	MXI1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10497252	default activation
ESR1	TFAP2A	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:19458056	default activation
TFAP2A	ESR1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10497269;CollecTRI:19458056;CollecTRI:9850080	default activation
ESR1	TFAP2C	1.0	CollecTRI;DoRothEA-A_CollecTRI;HTRI_CollecTRI	CollecTRI:14565844;CollecTRI:18414489;CollecTRI:20034404	default activation
TFAP2C	ESR1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10497269;CollecTRI:11278455;CollecTRI:17875680;CollecTRI:19458056;CollecTRI:20629094;CollecTRI:24413532;CollecTRI:24639548;CollecTRI:7891714;CollecTRI:9113991	PMID
IRF1	SLPI	-1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10498899	PMID
CEBPA	PRL	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10499509;CollecTRI:11340077;CollecTRI:12554749;CollecTRI:16908544;CollecTRI:17187171	PMID
DDIT3	PRL	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10499509	default activation
PAX8	TNF	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10499522	default activation
PAX8	TG	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:10499522;CollecTRI:10698164;CollecTRI:10807057;CollecTRI:10871399;CollecTRI:11069301;CollecTRI:11145590;CollecTRI:11325833;CollecTRI:11453662;CollecTRI:11463576;CollecTRI:11786384;CollecTRI:1508216;CollecTRI:15718293;CollecTRI:16179407;CollecTRI:16613988;CollecTRI:17614769;CollecTRI:18437010;CollecTRI:19010321;CollecTRI:21833035;CollecTRI:7635972;CollecTRI:7737192;CollecTRI:8813721;CollecTRI:8869595;CollecTRI:9288908;CollecTRI:9396634;CollecTRI:9845675;CollecTRI:9882622	PMID
TTF1	TG	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10499522;CollecTRI:10698164;CollecTRI:10807057;CollecTRI:10871399;CollecTRI:11046146;CollecTRI:11069301;CollecTRI:11149600;CollecTRI:11325833;CollecTRI:11463576;CollecTRI:15181011;CollecTRI:1555648;CollecTRI:16613988;CollecTRI:1732732;CollecTRI:1735431;CollecTRI:17671725;CollecTRI:17980011;CollecTRI:1811929;CollecTRI:18437010;CollecTRI:18852534;CollecTRI:19010321;CollecTRI:1922026;CollecTRI:21637535;CollecTRI:7592890;CollecTRI:7635972;CollecTRI:7828540;CollecTRI:7997232;CollecTRI:8813721;CollecTRI:8869595;CollecTRI:9396634;CollecTRI:9607786;CollecTRI:9845675	default activation
NKX2-1	TG	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI	CollecTRI:10499522;CollecTRI:10807057;CollecTRI:11149600;CollecTRI:11463576;CollecTRI:1448106;CollecTRI:15181011;CollecTRI:16179407;CollecTRI:16507635;CollecTRI:16627577;CollecTRI:1732732;CollecTRI:17980011;CollecTRI:21637535;CollecTRI:9845675	PMID
NKX2-1	TNF	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10499522	default activation
TTF1	TNF	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10499522;CollecTRI:21784970	default activation
WT1	IGF1R	-1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10499530;CollecTRI:11001824;CollecTRI:11896622;CollecTRI:12444079;CollecTRI:15345673;CollecTRI:16698800;CollecTRI:7497000;CollecTRI:7791758;CollecTRI:8390684;CollecTRI:9076342	PMID
PGR	PRL	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10499541;CollecTRI:7113584;CollecTRI:8015553	PMID
PDX1	PDX1	1.0	CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;TFactS_CollecTRI	CollecTRI:10499550;CollecTRI:10537169;CollecTRI:11181516;CollecTRI:11457885;CollecTRI:11590182;CollecTRI:12525833;CollecTRI:12684063;CollecTRI:15121856;CollecTRI:16630561;CollecTRI:17150967;CollecTRI:17259388;CollecTRI:17403901;CollecTRI:18538137;CollecTRI:20448145;CollecTRI:20802254;CollecTRI:20811152;CollecTRI:21081123;CollecTRI:21108535;CollecTRI:21652712;CollecTRI:21779870;CollecTRI:21821004;CollecTRI:22669743;CollecTRI:23331010;CollecTRI:24290880;CollecTRI:24371999;CollecTRI:9252422	PMID
