source	target	weight	resources	references	sign_decision
SOX9	COMP	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI	CollecTRI:17485346	PMID
SON	COMP	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17485346	default activation
ZBTB7A	ZBTB7A	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17485346;CollecTRI:18355317;CollecTRI:18368381;CollecTRI:19723341;CollecTRI:22447046;CollecTRI:23027183	default activation
MYC	DKK1	-1.0	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:17485441;CollecTRI:17964517;CollecTRI:20697356	PMID
MYC	SFRP1	-1.0	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:17485441;CollecTRI:20697356	PMID
MYC	WNT2	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17485441;CollecTRI:19149881;CollecTRI:19609274;CollecTRI:20945354;CollecTRI:22710352	default activation
LYL1	CD4	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:17486074	PMID
TCF3	CD4	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:17486074;CollecTRI:8355705	default activation
ESR1	AREG	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:16261397;CollecTRI:17486082;CollecTRI:23864650	default activation
ESR1	STC2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17486082	default activation
GLIS3	FGF18	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17488195	regulon
ZNF91	FGF18	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17488195	default activation
NFATC4	NGF	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17488277	default activation
HOXC11	S100B	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:17488478;CollecTRI:20145129;CollecTRI:21654685	PMID
HOXC6	S100B	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;SIGNOR_CollecTRI	CollecTRI:17488478	PMID
HIF1A	CXCL8	1.0	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI	CollecTRI:17082639;CollecTRI:17488804;CollecTRI:19491109;CollecTRI:21925595;CollecTRI:23144021	PMID
HIF1A	MAPK1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17488804	default activation
HNF1A	GPR39	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:17488974;CollecTRI:19213833	PMID
SP1	GPR39	1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:17488974	default activation
ZFHX2	PSEN1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17489097	default activation
ZNF699	PSEN1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17489097	default activation
DNMT3A	CDKN2A	-1.0	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:17490527;CollecTRI:19786833;CollecTRI:20620135;CollecTRI:26350239	PMID
TCF3	ID1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17490644;CollecTRI:22564737	PMID
ID1	TCF3	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:20191379	default activation
XBP1	JUN	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17494074	default activation
FOS	EPHX2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17495027	PMID
JUN	EPHX2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17495027	PMID
NCOA1	AGT	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17495236	default activation
NCOA1	IL6	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17495236	default activation
RELA	SRC	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17495236	default activation
NCOA1	MAPK1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17495236	default activation
CREBZF	CREBZF	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17496157;CollecTRI:24265317	default activation
NR1D1	NR1D1	-1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17496157;CollecTRI:19341811;CollecTRI:8622974	PMID
TBP	UGT1A1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17496722	default activation
CUX1	CXCL14	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17496784	default activation
RELA	NPPA	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17496784	default activation
MAFB	TBP	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17499043	default activation
OTX2	MSX1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17499211	PMID
SMAD7	KRT5	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17499880;CollecTRI:23475202	default activation
FOXI1	SLC26A4	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TRRUST_CollecTRI	CollecTRI:12642503;CollecTRI:17503324;CollecTRI:19648736	default activation
CEBPA	DGAT2	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17504763;CollecTRI:20416398	regulon
CEBPB	DGAT2	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17504763	default activation
AR	ETV1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:17505060;CollecTRI:17634427;CollecTRI:19789348	PMID
ETV1	AR	1.0	CollecTRI;TRRUST_CollecTRI	CollecTRI:17505060	regulon
PHOX2A	TLX2	1.0	CollecTRI;GEREDB_CollecTRI;TRRUST_CollecTRI	CollecTRI:20044949	PMID
TLX2	PHOX2A	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17505528	default activation
